model,accuracy,precision,recall,f1,roc_auc
Our LogisticRegression,0.78,0.6739130434782609,0.5166666666666667,0.5849056603773585,0.8042857142857143
Sklearn LogisticRegression,0.78,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.8036904761904763
Our DecisionTree,0.69,0.42857142857142855,0.1,0.16216216216216217,
Sklearn DecisionTree,0.685,0.4117647058823529,0.11666666666666667,0.18181818181818182,
